"","Tree.ID","id","Row","Tree","Rowf","Treef","Anth","Chl","Flav","AnthAdj","ChlAdj","FlavAdj","Allocation"
"1","CG","CG",0,0,"0","0",0.257636363636364,36.0283636363636,2.16945454545455,0.246807139008894,36.7467536556063,2.16148718206314,"CG"
"2","EC103","EC103",0,0,"0","0",0.0588333333333333,52.5924166666667,1.59983333333333,0.0646851236663106,52.2616181624551,1.60485915820996,"EC103"
"3","EC201","EC201",0,0,"0","0",0.0779,52.6067,1.7108,0.0827899986906438,52.2134291838869,1.71353310987859,"EC201"
"4","1N4BT","1N4BT",1,1,"1","1",0.110384615384615,34.4900769230769,2.16680769230769,0.107766375654986,34.0168994428565,2.1194968258683,"F1"
"5","1N4BV","1N4BV",1,2,"1","2",0.120545454545455,27.4683636363636,2.01245454545455,0.112154995935863,32.040391657006,2.06722679568407,"F1"
"6","1N4BW","1N4BW",1,3,"1","3",0.127454545454545,24.8086363636364,1.99418181818182,0.112058773321441,30.5213968812236,1.99305872277382,"F1"
"7","1N4BX","1N4BX",1,4,"1","4",0.0905454545454545,37.5558181818182,2.05372727272727,0.106682676122546,33.1327490059167,2.04332650914677,"F1"
"8","1N4BY","1N4BY",1,5,"1","5",0.1099,24.2288,1.9779,0.107056847455115,29.9175224626736,1.98878465139389,"F1"
"9","1N4BZ","1N4BZ",1,6,"1","6",0.106090909090909,31.9945454545455,2.08745454545455,0.106422939985803,30.7371885899126,2.03123380564575,"F1"
"10","1N4C0","1N4C0",1,7,"1","7",0.139454545454545,28.0004545454545,2.038,0.116988539779568,31.4710368651944,2.04311256359844,"F1"
"11","1N4C1","1N4C1",1,8,"1","8",0.117636363636364,30.7808181818182,2.03718181818182,0.111214351656403,31.1359588016484,2.03008386409664,"F1"
"12","1N4C2","1N4C2",1,9,"1","9",0.0878181818181818,42.6267272727273,2.04227272727273,0.102560354768046,32.531510878565,1.98343607993354,"F1"
"13","1N4C3","1N4C3",1,10,"1","10",0.105818181818182,25.695,1.96781818181818,0.109371433595958,30.5299982836981,1.98574551625397,"F1"
"14","1N4C4","1N4C4",1,11,"1","11",0.108,25.9626296296296,1.985,0.110902583361718,30.2790017243761,1.97430475930247,"F1"
"15","1N4C5","1N4C5",1,12,"1","12",0.12,31.4247272727273,1.79445454545455,0.106287403388866,32.3534639820938,1.84576251663623,"F1"
"16","1N4C6","1N4C6",1,13,"1","13",0.1389,31.6865,1.7129,0.111328491680245,31.464880227982,1.88164266808393,"F1"
