"","Tree.ID","id","Row","Tree","Rowf","Treef","Anth","Chl","Flav","AnthAdj","ChlAdj","FlavAdj","Allocation"
"1","CG","CG",0,0,"0","0",0.257636363636364,36.0283636363636,2.16945454545455,0.246807139008894,36.7467536556063,2.16148718206314,"CG"
"2","EC103","EC103",0,0,"0","0",0.0588333333333333,52.5924166666667,1.59983333333333,0.0646851236663106,52.2616181624551,1.60485915820996,"EC103"
"3","EC201","EC201",0,0,"0","0",0.0779,52.6067,1.7108,0.0827899986906438,52.2134291838869,1.71353310987859,"EC201"
"4","1N4BT","1N4BT",1,1,"1","1",0.110384615384615,34.4900769230769,2.16680769230769,0.108244077407717,34.016835654024,2.13624601648708,"F1"
"5","1N4BV","1N4BV",1,2,"1","2",0.120545454545455,27.4683636363636,2.01245454545455,0.111295421974747,32.04038030267,2.0206555903538,"F1"
"6","1N4BW","1N4BW",1,3,"1","3",0.127454545454545,24.8086363636364,1.99418181818182,0.113949979967611,30.5214304000862,2.01136858825671,"F1"
"7","1N4BX","1N4BX",1,4,"1","4",0.0905454545454545,37.5558181818182,2.05372727272727,0.103238555100165,33.1326873480716,2.04059806521578,"F1"
"8","1N4BY","1N4BY",1,5,"1","5",0.1099,24.2288,1.9779,0.108240733916731,29.9175784723408,1.99713028359532,"F1"
"9","1N4BZ","1N4BZ",1,6,"1","6",0.106090909090909,31.9945454545455,2.08745454545455,0.107734336266845,30.7372038061459,2.0583486378018,"F1"
"10","1N4C0","1N4C0",1,7,"1","7",0.139454545454545,28.0004545454545,2.038,0.117695552871746,31.4710219393303,2.02621572205246,"F1"
"11","1N4C1","1N4C1",1,8,"1","8",0.117636363636364,30.7808181818182,2.03718181818182,0.111321176260819,31.1359478564361,2.02212203398339,"F1"
"12","1N4C2","1N4C2",1,9,"1","9",0.0878181818181818,42.6267272727273,2.04227272727273,0.101922293132157,32.5314502377028,2.0189375497917,"F1"
"13","1N4C3","1N4C3",1,10,"1","10",0.105818181818182,25.695,1.96781818181818,0.108330158007198,30.5299965170117,1.97012530913946,"F1"
"14","1N4C4","1N4C4",1,11,"1","11",0.108,25.9626296296296,1.985,0.108100864324761,30.2790117539635,1.98415710003689,"F1"
"15","1N4C5","1N4C5",1,12,"1","12",0.12,31.4247272727273,1.79445454545455,0.110121989617931,32.35341915582,1.86355444714042,"F1"
"16","1N4C6","1N4C6",1,13,"1","13",0.1389,31.6865,1.7129,0.114229799437782,31.4648826017307,1.82628581242715,"F1"
"17","1N4C7","1N4C7",1,14,"1","14",0.106909090909091,28.4856363636364,2.06054545454545,0.104017338743606,32.9461096316905,2.02907387931803,"F1"
"18","1N4C8","1N4C8",1,15,"1","15",0.0875454545454545,35.8266363636364,2.02,0.0971333832411716,33.981908286702,2.00949278532537,"F1"
"19","1N4C9","1N4C9",1,16,"1","16",0.103875,35.034375,2.128625,0.101487962837376,32.1883807886806,2.06741902812785,"F1"
"20","1N4CB","1N4CB",1,18,"1","18",0.0838181818181818,31.7022727272727,2.07454545454545,0.0924822844664867,34.9201999299938,2.04843107597108,"F1"
"21","1N4CC","1N4CC",1,19,"1","19",0.0913636363636364,38.8555454545455,2.01554545454545,0.0933338642433631,35.8017488561514,2.01523149221687,"F1"
"22","1N4CD","1N4CD",1,20,"1","20",0.109727272727273,34.491,2.118,0.0990548130957817,33.0728967013837,2.07994396793325,"F1"
"23","1N4CE","1N4CE",1,21,"1","21",0.0802666666666667,37.8579333333333,1.89,0.0877092341242185,34.9882095194451,1.93723153540761,"F1"
"24","1N4CG","1N4CG",1,22,"1","22",0.0895454545454546,37.3036363636364,1.92272727272727,0.0899909781620254,36.0431763780481,1.96402135337898,"F1"
"25","1N4CH","1N4CH",1,23,"1","23",0.0817,32.3205,2.3379,0.0878949295128927,33.0359192391891,2.20614844682372,"F1"
"26","1N4CJ","1N4CJ",1,24,"1","24",0.09875,37.75475,2.02466666666667,0.0917861128522553,36.1467996843271,2.02598528154825,"F1"
"27","1N4CK","1N4CK",1,25,"1","25",0.0784545454545455,29.8862727272727,2.02481818181818,0.0846077310058243,32.372118104041,2.02219507403779,"F1"
"28","1N4CL","1N4CL",1,26,"1","26",0.0976,27.3225,2.1553,0.0895093273933864,32.7266157603287,2.09940206734599,"F1"
"29","1N4CN","1N4CN",1,28,"1","28",0.0516363636363636,39.8504545454545,1.82863636363636,0.075629008417956,34.4696734266651,1.90635133501673,"F1"
"30","1N4CP","1N4CP",1,29,"1","29",0.0664,26.7771,2.0364,0.0807812068859191,31.27095371838,2.02405212174875,"F1"
"31","1N4CR","1N4CR",1,30,"1","30",0.1035,31.9977,1.9736,0.0918911085676547,31.5152622104124,1.98583746980496,"F1"
"32","1N4CS","1N4CS",1,31,"1","31",0.0917142857142857,26.8593333333333,2.07838095238095,0.0896243581435474,31.5271296623607,2.05686264297374,"F1"
"33","1N4CT","1N4CT",1,32,"1","32",0.0764545454545455,40.4536363636364,2.04172727272727,0.0851449536027032,32.7374896368934,2.02708896365603,"F1"
"34","1N4CV","1N4CV",1,33,"1","33",0.0756363636363636,28.5181818181818,2.02227272727273,0.0858010175747438,33.0676752405477,2.01381457405356,"F1"
"35","1N4CW","1N4CW",1,34,"1","34",0.107727272727273,30.8696363636364,1.89754545454545,0.0963736906504605,34.0563440939483,1.93691065480444,"F1"
"36","1N4CX","1N4CX",1,35,"1","35",0.09475,34.4904166666667,2.03016666666667,0.0928134379597305,32.6024358305322,2.01544406263124,"F1"
